trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,55.157040499994764,78.6200084000011,['n'],[2.810492400007206],,,,,,,,,,,,,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,,,,,,,,,,,,,,,,,,,space,5.9394983999955,,,,,,,,,,,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,,,,,,,,,,,,,,,,,,,,,87.3895843999926,space,28.47361099999398,,,,,,,,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,0,0,2,,,,,,,,,,,,,,116.87241569999605,space,9.703534700005548,c,0,8.964489100006176,,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,1,1,0,,,,,,,,,,,,,,137.06650570000056,space,8.482087099997443,c,1,5.840653699997347,,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,2,2,1,,,,,,,,,,,,,,152.91138059999503,space,5.717093500003102,b,1,2.661042100007762,,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,14.0,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,20.0,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,14.0,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,1.0,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,20.0,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,1.0,,,,,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.8564658999967,190.8564658999967,space,2.8449981000012485,P09,m,reseRCHER,001,2023-01-12_16h31.14.983,eth_ws_team_p04,2022.2.5,143.81825975064672,
