subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P01,1,1,tsq01,9.594204,1416.025448,386.082857,1.034814,468.918809,0.032916
P01,1,1,tsq01,10.661934,948.663360,347.905260,0.164353,497.962139,0.032834
P01,1,1,tsq01,10.859121,473.325352,496.296869,0.476474,706.721345,0.082147
P01,1,1,tsq01,11.417742,1146.105600,712.680318,0.804876,510.678375,0.065724
P01,1,1,tsq01,12.288342,713.802764,984.538113,0.903650,480.496440,0.049127
P01,1,1,tsq01,13.241119,936.857600,558.952200,0.049429,52.099251,0.016477
P01,1,1,tsq01,13.307025,954.777600,607.872600,0.016428,0.000000,0.016477
P01,1,1,tsq02,0.016351,840.236160,153.929228,1.314343,318.272679,0.065645
P01,1,1,tsq02,1.396339,566.175360,315.756840,0.739271,833.230741,0.082238
P01,1,1,tsq02,2.217848,1390.819388,435.070271,0.837814,923.803897,0.082104
P01,1,1,tsq02,3.137766,478.030014,292.840883,0.476474,389.070887,0.032824
P01,1,1,tsq02,3.647064,593.868343,664.267371,0.344906,805.904056,0.082278
P01,1,1,tsq02,4.074248,1373.802000,461.326894,0.525615,945.437254,0.082224
P01,1,1,tsq02,4.682087,433.037558,367.444705,0.624280,865.260747,0.065691
P01,1,1,tsq02,5.372058,923.895086,1080.000000,0.460059,821.351569,0.082045
P01,1,1,tsq02,5.914162,918.841263,258.663979,0.312103,503.754978,0.065778
P01,1,1,tsq02,6.292043,584.524800,635.494950,0.065645,0.000000,0.065778
P01,1,1,tsq03,0.032962,299.782400,302.229000,0.098499,571.438936,0.065751
P01,1,1,tsq03,0.197212,861.136070,195.343474,0.755714,642.436058,0.049267
P01,1,1,tsq03,1.002193,1341.574080,621.844830,0.328669,617.483665,0.065679
P01,1,1,tsq03,1.396541,725.106071,657.246388,0.279308,400.681069,0.049182
P01,1,1,tsq03,1.725031,324.710756,642.116600,0.443619,1072.699229,0.098543
P01,1,1,tsq03,2.267193,1397.404457,645.560164,0.459951,470.315544,0.032851
P01,1,1,tsq03,2.759995,928.305000,611.760600,0.262862,479.381939,0.049311
P01,1,1,tsq03,3.072168,1407.464229,597.149743,0.229976,689.971276,0.065691
P01,1,1,tsq03,3.367835,718.101333,626.118000,0.147863,478.005679,0.032934
P01,1,1,tsq03,3.548632,868.036518,1080.000000,0.558578,0.000000,0.032934
P02,1,1,tsa01,0.049353,894.898268,842.669522,2.595587,46.707207,0.032915
P02,1,1,tsa01,2.677855,894.941133,795.962334,5.207823,559.426947,0.049173
P02,1,1,tsa01,7.934851,1432.114971,952.176214,0.459976,515.647081,0.065774
P02,1,1,tsa01,8.460601,917.516571,985.045629,0.230005,336.534821,0.016371
P02,1,1,tsa01,8.706977,581.163840,996.114780,0.164350,0.000000,0.016371
P02,1,1,tsa02,0.032878,501.595826,306.322983,0.377772,714.296891,0.082312
P02,1,1,tsa02,0.492962,654.733673,1004.011200,0.542004,0.000000,0.082312
P02,1,1,tsa03,0.049386,1130.223247,667.919012,0.558437,631.887323,0.065714
P02,1,1,tsa03,0.673537,510.530021,544.379968,0.312122,280.768520,0.032861
P02,1,1,tsa03,1.018520,341.523200,768.584465,2.267076,975.661707,0.082171
P02,1,1,tsa03,3.367767,1317.133056,778.643064,0.410776,543.573746,0.065710
P02,1,1,tsa03,3.844253,864.743385,1080.000000,0.640663,579.198411,0.049325
P02,1,1,tsa03,4.534241,1254.055153,651.156035,0.837781,0.000000,0.049325
P02,1,1,tsq01,0.032863,730.980533,307.391700,0.591519,521.946896,0.016442
P02,1,1,tsq01,0.640824,1235.403520,173.279760,0.739138,503.720675,0.049330
P02,1,1,tsq01,1.429292,731.788608,183.601512,0.821428,442.058074,0.065605
P02,1,1,tsq01,2.316325,738.004469,625.615883,0.952862,307.767397,0.065907
P02,1,1,tsq01,3.335094,1034.638269,707.647338,2.004076,546.693853,0.049329
P02,1,1,tsq01,5.388499,1143.211200,171.843187,0.525677,590.637845,0.082131
P02,1,1,tsq01,5.996307,554.870400,223.883242,0.936464,423.861396,0.049300
P02,1,1,tsq01,6.982071,961.354240,344.005560,0.246361,391.017156,0.032943
P02,1,1,tsq01,7.261375,1346.847600,409.498200,0.262808,336.574071,0.032817
P02,1,1,tsq01,7.557000,1158.807516,688.645172,0.985836,706.261650,0.081956
P02,1,1,tsq01,8.624792,644.456686,204.652671,0.690004,599.719491,0.016425
P02,1,1,tsq01,9.331221,1239.459300,279.721687,0.525771,176.443379,0.065671
P02,1,1,tsq01,9.922663,1097.876456,174.428933,1.757809,559.555320,0.049338
P02,1,1,tsq01,11.729810,974.245770,720.155613,4.254936,469.431917,0.032822
P02,1,1,tsq01,16.017568,639.350400,1049.110650,0.312099,403.123984,0.016427
P02,1,1,tsq01,16.346094,887.104000,731.105775,0.394257,410.383309,0.049287
P02,1,1,tsq01,16.789638,502.553535,587.803996,1.610039,842.001498,0.065701
P02,1,1,tsq01,18.465378,1340.695367,668.332193,1.412892,250.393004,0.016379
P02,1,1,tsq01,19.894649,1101.489600,594.323700,0.295749,450.308951,0.049220
P02,1,1,tsq01,20.239618,699.556200,797.369738,0.525721,0.000000,0.049220
P02,1,1,tsq02,0.032671,724.663200,204.728850,0.460019,509.881257,0.032910
P02,1,1,tsq02,0.525600,1233.436364,171.131768,0.722897,662.614066,0.065693
P02,1,1,tsq02,1.314190,629.397257,443.517814,0.459956,367.940815,0.016374
P02,1,1,tsq02,1.790520,586.378240,808.935120,0.246456,761.881994,0.082204
P02,1,1,tsq02,2.119180,1270.451520,473.513117,1.149919,831.361278,0.082201
P02,1,1,tsq02,3.351300,452.241969,326.221892,0.427070,0.000000,0.082201
P02,1,1,tsq03,0.032960,776.687418,263.980473,0.542064,527.798250,0.049312
P02,1,1,tsq03,0.624336,1302.491657,218.144957,0.460113,563.886519,0.032753
P02,1,1,tsq03,1.117202,905.916258,619.013963,1.067847,366.770349,0.065686
P02,1,1,tsq03,2.250735,1268.287376,562.377732,0.673573,634.400157,0.065716
P02,1,1,tsq03,2.990024,644.527729,678.081936,1.938464,0.000000,0.065716
P03,1,1,tsa01,0.049137,1039.106598,662.643847,1.396539,500.322425,0.295663
P03,1,1,tsa01,1.741339,763.178400,1080.000000,0.065659,0.000000,0.295663
P03,1,1,tsa02,0.032934,583.022147,333.290984,0.624323,396.040037,0.049173
P03,1,1,tsa02,0.706430,737.486400,697.966875,0.131439,628.512699,0.065798
P03,1,1,tsa02,0.903667,1325.683200,919.445400,0.197098,678.790890,0.377875
P03,1,1,tsa02,1.478640,666.153600,1080.000000,0.114916,0.000000,0.377875
P03,1,1,tsa03,0.032833,803.465956,463.585600,0.443554,452.382400,0.049308
P03,1,1,tsa03,0.525695,352.576985,500.313946,0.427137,420.670713,0.032851
P03,1,1,tsa03,0.985683,456.113280,92.583540,0.328627,522.203289,0.049214
P03,1,1,tsa03,1.363524,976.522368,49.332456,0.410762,633.844654,0.065652
P03,1,1,tsa03,1.839938,1216.188089,636.119800,0.443535,241.582342,0.016453
P03,1,1,tsa03,2.299926,1001.141760,526.042080,0.082053,464.793652,0.032897
P03,1,1,tsa03,2.414876,537.566400,492.411375,0.394252,650.178600,0.410827
P03,1,1,tsa03,3.219955,815.904000,1080.000000,0.032831,346.123520,0.032745
P03,1,1,tsa03,3.285531,469.780480,1080.000000,0.821545,576.122753,0.262877
P03,1,1,tsa03,4.369953,496.390154,504.492092,0.213572,743.662613,0.065641
P03,1,1,tsa03,4.649166,1195.724000,757.407600,0.197230,0.000000,0.065641
P03,1,1,tsq01,0.295589,1141.200000,418.143600,0.016380,218.995651,0.016561
P03,1,1,tsq01,0.328530,933.339429,487.086171,0.114870,346.849313,0.016617
P03,1,1,tsq01,0.460017,706.650485,749.605826,0.772050,780.073855,0.262814
