subj,exp_id,ses_id,stim,timestamp,K
P02,1,1,tsa03,3.844253,-1.009793
P02,1,1,tsa03,4.534241,-1.009793
P02,1,1,tsq01,0.032863,-0.264712
P02,1,1,tsq01,0.640824,0.141070
P02,1,1,tsq01,1.429292,-1.030199
P02,1,1,tsq01,2.316325,1.155236
P02,1,1,tsq01,3.335094,-0.490976
P02,1,1,tsq01,5.388499,-0.506451
P02,1,1,tsq01,5.996307,0.560860
P02,1,1,tsq01,6.982071,0.047290
P02,1,1,tsq01,7.261375,-0.507815
P02,1,1,tsq01,7.557000,-1.817922
P02,1,1,tsq01,8.624792,-0.387600
P02,1,1,tsq01,9.331221,1.110164
P02,1,1,tsq01,9.922663,-0.851054
P02,1,1,tsq01,11.729810,3.284942
P02,1,1,tsq01,16.017568,-0.840784
P02,1,1,tsq01,16.346094,-0.050883
P02,1,1,tsq01,16.789638,-0.442955
P02,1,1,tsq01,18.465378,1.923976
P02,1,1,tsq01,19.894649,-0.513957
P02,1,1,tsq01,20.239618,-0.513957
P02,1,1,tsq02,0.032671,1.186786
P02,1,1,tsq02,0.525600,0.266359
P02,1,1,tsq02,1.314190,0.220411
P02,1,1,tsq02,1.790520,-2.298036
P02,1,1,tsq02,2.119180,1.141894
P02,1,1,tsq02,3.351300,1.141894
P02,1,1,tsq03,0.032960,-0.336176
P02,1,1,tsq03,0.624336,-2.242367
P02,1,1,tsq03,1.117202,1.598331
P02,1,1,tsq03,2.250735,-0.866068
P02,1,1,tsq03,2.990024,-0.866068
P03,1,1,tsa01,0.049137,0.000000
P03,1,1,tsa01,1.741339,0.000000
P03,1,1,tsa02,0.032934,3.099772
P03,1,1,tsa02,0.706430,-1.102149
P03,1,1,tsa02,0.903667,-1.268856
P03,1,1,tsa02,1.478640,-1.268856
P03,1,1,tsa03,0.032833,1.261966
P03,1,1,tsa03,0.525695,0.227213
P03,1,1,tsa03,0.985683,0.460305
P03,1,1,tsa03,1.363524,-1.019741
P03,1,1,tsa03,1.839938,1.830937
P03,1,1,tsa03,2.299926,-0.535241
P03,1,1,tsa03,2.414876,-1.136875
P03,1,1,tsa03,3.219955,-0.355650
P03,1,1,tsa03,3.285531,1.137951
P03,1,1,tsa03,4.369953,-1.152866
P03,1,1,tsa03,4.649166,-1.152866
P03,1,1,tsq01,0.295589,0.648116
P03,1,1,tsq01,0.328530,0.218184
P03,1,1,tsq01,0.460017,1.809679
P03,1,1,tsq01,1.494881,-3.619653
P03,1,1,tsq01,2.661325,0.329988
P03,1,1,tsq01,3.071997,1.157188
P03,1,1,tsq01,3.630603,-0.568728
P03,1,1,tsq01,3.893393,0.834660
P03,1,1,tsq01,4.714811,-1.789629
P03,1,1,tsq01,5.010573,-1.795674
P03,1,1,tsq01,5.158454,-0.320080
P03,1,1,tsq01,5.322614,0.354304
P03,1,1,tsq01,5.536286,-0.429889
P03,1,1,tsq01,6.062089,2.898524
P03,1,1,tsq01,6.768322,2.898524
P03,1,1,tsq02,0.032885,-0.083721
P03,1,1,tsq02,0.279188,-0.382603
P03,1,1,tsq02,0.443604,0.413519
P03,1,1,tsq02,0.788535,-0.411896
P03,1,1,tsq02,1.018512,1.771856
P03,1,1,tsq02,1.708488,1.120968
P03,1,1,tsq02,2.168547,-3.032775
P03,1,1,tsq02,2.414962,0.257709
P03,1,1,tsq02,2.644955,-1.671768
P03,1,1,tsq02,2.891441,-1.671768
P03,1,1,tsq03,0.032814,-1.020927
P03,1,1,tsq03,0.197114,-0.266481
P03,1,1,tsq03,0.591476,0.967058
P03,1,1,tsq03,0.936295,-0.072138
P03,1,1,tsq03,1.084148,-2.678112
P03,1,1,tsq03,1.379880,0.146012
P03,1,1,tsq03,1.642842,-0.569147
P03,1,1,tsq03,1.889193,0.244046
P03,1,1,tsq03,2.529873,2.097296
P03,1,1,tsq03,3.252755,0.652339
P03,1,1,tsq03,4.041402,-2.035519
P03,1,1,tsq03,4.994118,0.902549
P03,1,1,tsq03,5.569150,2.996583
P03,1,1,tsq03,6.982007,-0.880035
P03,1,1,tsq03,7.310566,1.021791
P03,1,1,tsq03,7.918351,3.350811
P03,1,1,tsq03,9.249067,-1.607677
P03,1,1,tsq03,9.446284,-1.117246
P03,1,1,tsq03,9.725553,-1.823406
P03,1,1,tsq03,10.448414,-1.823406
P04,1,1,tsa01,0.049197,-0.924143
P04,1,1,tsa01,0.328565,-0.927345
P04,1,1,tsa01,0.542077,2.082734
P04,1,1,tsa01,3.384141,0.272454
P04,1,1,tsa01,5.059916,-2.547090
P04,1,1,tsa01,5.486919,-0.380785
P04,1,1,tsa01,6.324835,3.297955
P04,1,1,tsa01,9.019107,3.297955
P04,1,1,tsa02,0.032883,2.412419
P04,1,1,tsa02,1.248575,-1.767882
P04,1,1,tsa02,1.610039,-1.767882
P04,1,1,tsa03,0.048921,1.336344
P04,1,1,tsa03,0.755540,1.354282
P04,1,1,tsa03,1.264617,0.241680
P04,1,1,tsa03,2.036785,0.495111
P04,1,1,tsa03,2.743298,2.377650
P04,1,1,tsa03,3.597497,-1.910913
P04,1,1,tsa03,3.778233,0.625323
P04,1,1,tsa03,4.550342,-0.257629
P04,1,1,tsa03,5.306000,-0.683405
P04,1,1,tsa03,5.815312,-0.441601
P04,1,1,tsa03,6.488821,0.233933
P04,1,1,tsa03,7.047405,0.454492
P04,1,1,tsa03,7.540254,-0.941662
P04,1,1,tsa03,8.016703,-0.683650
P04,1,1,tsa03,8.690196,2.448460
P04,1,1,tsa03,9.905953,-4.190914
P04,1,1,tsa03,10.201547,-4.190914
P04,1,1,tsq01,0.049331,0.898249
P04,1,1,tsq01,1.084297,-0.981367
P04,1,1,tsq01,1.330766,-1.177522
P04,1,1,tsq01,2.102945,0.249499
P04,1,1,tsq01,3.219920,-0.060041
P04,1,1,tsq01,3.466508,4.291901
P04,1,1,tsq01,8.493448,-0.996766
P04,1,1,tsq01,8.854889,-1.239606
P04,1,1,tsq01,9.068498,-1.360280
P04,1,1,tsq01,9.561322,-2.408723
P04,1,1,tsq01,9.791362,2.000304
P04,1,1,tsq01,11.023526,0.884763
P04,1,1,tsq01,11.795637,0.884763
P04,1,1,tsq02,0.032816,0.129544
P04,1,1,tsq02,0.427222,-1.465750
P04,1,1,tsq02,0.821443,-2.305859
P04,1,1,tsq02,1.248475,0.204060
P04,1,1,tsq02,1.478556,0.202939
P04,1,1,tsq02,1.905880,-0.159938
P04,1,1,tsq02,2.218014,0.675306
P04,1,1,tsq02,2.760089,0.824601
P04,1,1,tsq02,4.599979,0.824601
P04,1,1,tsq03,0.049360,3.006966
P04,1,1,tsq03,2.201393,1.563431
P04,1,1,tsq03,4.254914,-1.510872
P04,1,1,tsq03,4.583510,-1.264782
P04,1,1,tsq03,5.026991,-0.922682
P04,1,1,tsq03,5.486937,-0.892319
P04,1,1,tsq03,6.292058,-1.478246
P04,1,1,tsq03,6.883366,2.532942
P04,1,1,tsq03,7.869117,2.141748
P04,1,1,tsq03,8.822005,-0.462377
P04,1,1,tsq03,9.495438,0.371625
P04,1,1,tsq03,11.072640,-0.164004
P04,1,1,tsq03,12.255443,-1.495890
P04,1,1,tsq03,12.567571,-0.349005
P04,1,1,tsq03,12.912544,-0.349005
P05,1,1,tsa01,0.049247,0.026345
P05,1,1,tsa01,0.082122,1.069608
P05,1,1,tsa01,1.297828,-0.973421
P05,1,1,tsa01,1.938396,-0.973421
P05,1,1,tsa02,0.032832,0.445578
P05,1,1,tsa02,0.657121,-0.667521
P05,1,1,tsa02,0.969119,-0.555903
P05,1,1,tsa02,1.199254,-0.153671
P05,1,1,tsa02,1.511321,0.429579
P05,1,1,tsa02,2.266947,1.937476
P05,1,1,tsa02,2.595573,1.937476
P05,1,1,tsa03,0.049306,-0.349944
P05,1,1,tsa03,0.279257,1.576448
P05,1,1,tsa03,1.264866,-1.649223
P05,1,1,tsa03,1.807061,0.127833
P05,1,1,tsa03,2.382048,-0.808616
P05,1,1,tsa03,2.628475,0.890916
P05,1,1,tsa03,3.104878,0.231242
P05,1,1,tsa03,3.252842,-1.419289
P05,1,1,tsa03,3.844209,1.940223
P05,1,1,tsa03,4.796954,0.218491
P05,1,1,tsa03,5.240521,0.218491
P05,1,1,tsq01,0.032922,-0.382801
P05,1,1,tsq01,0.279250,0.335955
P05,1,1,tsq01,1.544198,-1.630062
P05,1,1,tsq01,1.807237,-0.097532
P05,1,1,tsq01,2.234176,-0.083428
P05,1,1,tsq01,2.661302,-1.928901
P05,1,1,tsq01,2.858463,0.188738
P05,1,1,tsq01,3.334832,1.038174
P05,1,1,tsq01,4.879126,-0.418946
P05,1,1,tsq01,5.076293,-0.228200
P05,1,1,tsq01,5.437769,-0.773851
