x,y,d,t
0.413165,0.423850,3.830000,115.554227
0.445130,0.402440,3.815000,115.570452
0.442130,0.395950,3.775000,115.586896
0.442130,0.395950,3.655000,115.603294
0.424290,0.408060,3.605000,115.619880
0.417250,0.392325,3.755000,115.636145
0.419185,0.412240,3.620000,115.652610
0.428915,0.427150,3.505000,115.669226
0.405160,0.452425,3.790000,115.685485
0.407215,0.463165,3.465000,115.701907
0.427460,0.490520,3.550000,115.718299
0.422390,0.440185,3.545000,115.734783
0.420600,0.425295,3.515000,115.751136
0.423590,0.412265,3.635000,115.767754
0.408055,0.448310,3.675000,115.784139
0.408115,0.452010,3.545000,115.800415
0.440375,0.488400,3.700000,115.816879
0.453010,0.461650,3.735000,115.833328
0.453765,0.465135,3.570000,115.849669
0.430370,0.436200,3.530000,115.866193
0.440875,0.420520,3.720000,115.882612
0.439490,0.405655,3.650000,115.899135
0.442730,0.442055,3.645000,115.915639
0.423880,0.416020,3.580000,115.931873
0.424705,0.423220,3.645000,115.948332
0.405010,0.427760,3.625000,115.964672
0.448530,0.459465,3.670000,115.981132
0.448530,0.459465,3.740000,115.997658
0.398810,0.453465,3.710000,116.014147
0.451855,0.437790,3.720000,116.030522
0.451145,0.434320,3.810000,116.046902
0.431310,0.448615,3.820000,116.063387
0.420935,0.463685,3.825000,116.079671
0.421800,0.466850,3.925000,116.096184
0.401670,0.438640,3.895000,116.112519
0.394595,0.481145,3.920000,116.128976
0.393510,0.477855,4.020000,116.145379
0.311975,0.330595,3.970000,116.161899
0.446790,0.347385,4.080000,116.851999
0.438295,0.377375,4.060000,116.868299
0.438860,0.388860,3.975000,116.884827
0.421500,0.382580,4.025000,116.901290
0.442255,0.396765,4.110000,116.917564
0.442960,0.404750,4.045000,116.934018
0.406885,0.352800,3.980000,116.950580
0.429990,0.376000,4.055000,116.966872
0.430060,0.371815,4.045000,116.983285
0.539040,0.416025,4.045000,116.999727
0.492485,0.389390,4.180000,117.016138
0.492250,0.381410,4.035000,117.032664
0.525635,0.342350,4.040000,117.048931
0.537940,0.373685,4.030000,117.065383
0.537840,0.360865,4.035000,117.081900
0.520345,0.358395,4.115000,117.098250
0.519840,0.355170,4.105000,117.114725
0.520220,0.350015,4.040000,117.131250
0.647820,0.554785,4.175000,117.147600
0.720130,0.777280,4.790000,117.164027
0.722005,0.773460,4.285000,117.180440
0.745390,0.766715,4.245000,117.196955
0.734215,0.781470,4.260000,117.213353
0.731940,0.785775,4.270000,117.229726
0.718565,0.735650,4.175000,117.246221
0.708780,0.810910,4.210000,117.262577
0.705310,0.816830,4.240000,117.279034
0.720110,0.797285,4.220000,117.295435
0.733800,0.797530,4.215000,117.311961
0.729620,0.805100,4.250000,117.328390
0.771945,0.814725,4.210000,117.344690
0.711805,0.840105,4.215000,117.361107
0.711315,0.841545,4.275000,117.377613
0.753280,0.856435,4.250000,117.393994
0.741725,0.839470,4.295000,117.410382
0.746205,0.832495,4.300000,117.426928
0.755580,0.808555,4.230000,117.443351
0.758420,0.839285,4.290000,117.459686
0.759080,0.837775,4.250000,117.476134
0.722065,0.825480,4.290000,117.492649
0.725430,0.835030,4.275000,117.508999
0.721385,0.841870,4.290000,117.525451
0.713595,0.794585,4.250000,117.541817
0.701725,0.829210,4.280000,117.558262
0.701725,0.829210,4.345000,117.574660
0.752800,0.834295,4.305000,117.591221
0.749700,0.837130,4.290000,117.607681
0.753610,0.831925,4.270000,117.624060
0.738950,0.824940,4.250000,117.640464
0.739030,0.837995,4.345000,117.656868
0.739680,0.836375,4.335000,117.673288
0.427265,0.819630,4.320000,117.689750
0.329680,0.838505,4.330000,117.706217
0.331155,0.840065,4.320000,117.722532
0.347445,0.825690,4.265000,117.738962
0.360740,0.814880,4.285000,117.755419
0.359265,0.811300,4.275000,117.771937
0.362365,0.826170,4.280000,117.788334
0.341810,0.796240,4.260000,117.804704
0.341810,0.796240,4.270000,117.821080
0.348135,0.828180,4.215000,117.837515
0.361660,0.864175,4.240000,117.854031
0.361660,0.864175,4.270000,117.870364
0.347435,0.819550,4.220000,117.886856
0.353385,0.835135,4.225000,117.903290
0.353385,0.835135,4.225000,117.919713
0.353370,0.785545,4.175000,117.936150
0.345970,0.795655,4.195000,117.952541
0.345970,0.795655,4.200000,117.969043
0.336815,0.821095,4.200000,117.985463
0.329275,0.796375,4.180000,118.001969
0.330980,0.800000,4.145000,118.018356
0.345085,0.831575,4.130000,118.034716
0.322115,0.828755,4.115000,118.051106
0.323935,0.832180,4.135000,118.067595
0.342245,0.830100,4.095000,118.083908
0.342575,0.817795,4.115000,118.100436
0.340935,0.814230,4.065000,118.117022
0.346960,0.790910,4.150000,118.133182
0.338130,0.810750,4.070000,118.149706
0.336495,0.807220,4.120000,118.166197
