x,y,d,t
0.341460,0.378750,5.400000,177.838481
0.370360,0.341615,5.330000,177.854926
0.321995,0.354595,5.345000,177.871297
0.326550,0.367610,5.335000,177.887787
0.349005,0.370335,5.320000,177.904380
0.391525,0.352720,5.360000,177.920672
0.391530,0.357685,5.370000,177.937098
0.437405,0.363580,5.265000,177.953521
0.438995,0.379790,5.270000,177.970023
0.439165,0.375120,5.235000,177.986295
0.413345,0.328380,5.230000,178.002751
0.427760,0.370235,5.235000,178.019168
0.425175,0.352865,5.135000,178.035682
0.421680,0.337740,5.135000,178.052085
0.451365,0.312595,5.200000,178.068484
0.451365,0.312595,5.145000,178.085110
0.443990,0.498540,5.105000,178.101338
0.426820,0.371325,5.080000,178.117929
0.426820,0.371325,5.075000,178.134191
0.443075,0.432785,5.060000,178.150752
0.426030,0.446430,5.055000,178.167034
0.426030,0.446430,5.085000,178.183605
0.430650,0.421690,5.060000,178.200058
0.438205,0.418555,5.115000,178.216421
0.436540,0.413130,5.120000,178.232815
0.211420,0.130885,5.080000,178.249229
0.199530,0.060840,5.150000,178.265703
0.203040,0.071975,5.185000,178.282155
0.248565,0.140840,5.115000,178.298501
0.261965,0.151500,5.210000,178.314954
0.264910,0.159050,5.190000,178.331309
0.214995,0.107350,5.150000,178.347746
0.221740,0.176515,5.170000,178.364150
0.222730,0.182020,5.140000,178.380688
0.216400,0.126535,5.160000,178.397056
0.252615,0.167170,5.125000,178.413443
0.258165,0.183830,5.190000,178.429924
0.235155,0.201040,5.195000,178.446410
0.348060,0.168545,5.225000,178.462695
0.343660,0.146325,5.270000,178.479235
0.400730,0.135490,5.135000,178.495638
0.459240,0.143350,5.140000,178.512066
0.459240,0.143350,5.165000,178.528448
0.438530,0.087305,5.095000,178.544967
0.422085,0.154465,5.210000,178.561378
0.423415,0.171190,5.250000,178.577784
0.447585,0.207935,5.185000,178.594318
0.436385,0.194525,5.160000,178.610719
0.437700,0.199980,5.210000,178.627034
0.604195,0.171435,5.235000,178.643499
0.626975,0.161610,5.230000,178.659924
0.628500,0.130615,5.255000,178.676337
0.660045,0.117350,5.215000,178.692727
0.654230,0.100205,5.285000,178.709190
0.654525,0.105730,5.310000,178.725622
0.675405,0.141770,5.260000,178.742080
0.640815,0.120220,5.290000,178.758511
0.640595,0.122800,5.310000,178.774927
0.639000,0.123765,5.265000,178.791270
0.657595,0.141455,5.300000,178.807950
0.658750,0.130105,5.340000,178.824285
0.659375,0.090905,5.280000,178.840562
0.684460,0.121310,5.285000,178.857059
0.683035,0.132780,5.275000,178.873616
0.661550,0.137075,5.340000,178.890120
0.729970,0.220270,5.290000,178.906330
0.726530,0.236410,5.255000,178.922770
0.753515,0.220480,5.265000,178.939364
0.767335,0.184465,5.355000,178.955671
0.769370,0.182330,5.280000,178.972089
0.749775,0.230995,5.295000,178.988497
0.765430,0.202545,5.260000,179.004977
0.771060,0.166960,5.275000,179.021302
0.743175,0.202915,5.290000,179.037721
0.534635,0.420240,5.265000,179.054185
0.535680,0.433505,5.290000,179.070747
0.483815,0.568135,5.200000,179.086956
0.489675,0.504700,5.285000,179.103580
0.491090,0.509350,5.280000,179.119904
0.486450,0.536820,5.215000,179.136437
0.496200,0.559240,5.280000,179.152819
0.494375,0.548810,5.275000,179.169120
0.481095,0.529295,5.315000,179.185577
0.482855,0.505025,5.410000,179.202051
0.482160,0.497735,5.335000,179.218583
0.507465,0.546610,5.370000,179.234939
0.477905,0.563345,5.430000,179.251418
0.478625,0.569675,5.420000,179.267765
0.490365,0.519985,5.410000,179.284248
0.374430,0.513950,5.470000,179.300604
0.378535,0.529640,5.440000,179.317037
0.264970,0.536950,5.425000,179.333579
0.279375,0.556570,5.450000,179.349933
0.276420,0.549830,5.445000,179.366269
0.272865,0.491345,5.535000,179.382832
0.261870,0.493540,5.545000,179.399182
0.259550,0.489825,5.510000,179.415603
0.240840,0.518600,5.565000,179.432072
0.251945,0.521595,5.550000,179.448463
0.250415,0.516680,5.590000,179.465003
0.231580,0.529750,5.565000,179.481565
0.274220,0.516135,5.600000,179.497767
0.271445,0.509530,5.585000,179.514200
0.272060,0.521105,5.585000,179.530714
0.232895,0.526690,5.690000,179.547120
0.232895,0.526690,5.700000,179.563542
0.234070,0.518145,5.700000,179.579860
0.238530,0.504540,5.720000,179.596372
0.238530,0.504540,5.695000,179.612787
0.230070,0.516955,5.760000,179.629306
0.255590,0.517710,5.740000,179.645671
0.259240,0.525840,5.730000,179.662106
0.266060,0.542165,5.780000,179.678536
0.308495,0.532440,5.865000,179.694899
0.311015,0.539205,5.775000,179.711331
0.448970,0.615195,5.810000,179.727765
0.467735,0.597145,5.865000,179.744361
0.468615,0.603560,5.870000,179.760621
0.483280,0.602950,5.855000,179.777059
0.483400,0.626015,5.900000,179.793508
0.483400,0.626015,5.905000,179.810028
0.476625,0.624625,5.915000,179.826410
0.482450,0.652790,5.910000,179.842860
0.482450,0.652790,5.910000,179.859233
0.478980,0.646870,5.910000,179.875761
0.472615,0.668245,5.925000,179.892140
0.472615,0.668245,5.920000,179.908568
0.470530,0.669395,5.910000,179.924993
0.469050,0.684820,5.965000,179.941398
0.469050,0.684820,5.960000,179.957865
0.464585,0.695840,5.980000,179.974265
0.458340,0.689895,5.960000,179.990664
0.458340,0.689895,5.975000,180.007076
0.522615,0.673655,5.975000,180.023540
