x,y,d,t
0.413815,0.732705,3.750000,116.763609
0.395705,0.695110,3.760000,116.780021
0.397570,0.670890,3.700000,116.796414
0.395175,0.662305,3.740000,116.812960
0.428275,0.708700,3.710000,116.829287
0.422195,0.719500,3.690000,116.845716
0.424320,0.727435,3.650000,116.862244
0.445340,0.703480,3.665000,116.878618
0.408480,0.702500,3.715000,116.894961
0.410845,0.710925,3.730000,116.911518
0.399640,0.680015,3.815000,116.927815
0.406940,0.686645,3.810000,116.944264
0.409775,0.697500,3.700000,116.960688
0.393160,0.695935,3.710000,116.977117
0.423170,0.742255,3.725000,116.993602
0.424115,0.745835,3.685000,117.009996
0.415460,0.703190,3.755000,117.026417
0.408045,0.684295,3.730000,117.042872
0.401480,0.660315,3.700000,117.059262
0.431675,0.698850,3.595000,117.075712
0.427185,0.689145,3.610000,117.092097
0.427185,0.689145,3.600000,117.108563
0.412250,0.665710,3.645000,117.125018
0.415005,0.670670,3.585000,117.141391
0.417285,0.679490,3.655000,117.157895
0.417495,0.687940,3.680000,117.174287
0.416275,0.697355,3.680000,117.190775
0.416275,0.697355,3.690000,117.207181
0.424580,0.748340,3.515000,117.223756
0.422430,0.696250,3.520000,117.240041
0.424290,0.703435,3.540000,117.256393
0.390495,0.692550,3.375000,117.272892
0.373835,0.651910,3.350000,117.289312
0.373835,0.651910,3.475000,117.305794
0.423795,0.670385,3.355000,117.322287
0.400645,0.643910,3.320000,117.338566
0.400645,0.643910,3.420000,117.354992
0.405935,0.718675,3.365000,117.371466
0.384735,0.692340,3.405000,117.387915
0.381985,0.683415,3.325000,117.404313
0.383775,0.655235,3.290000,117.420706
0.390675,0.658875,3.285000,117.437196
0.386970,0.646395,3.230000,117.453641
0.383195,0.664455,3.185000,117.470122
0.380565,0.641185,3.250000,117.486438
0.381810,0.645200,3.245000,117.502842
0.398600,0.628235,3.300000,117.519350
0.385535,0.581100,3.270000,117.535729
0.385960,0.582715,3.295000,117.552140
0.390530,0.698080,3.280000,117.568611
0.374655,0.633160,3.280000,117.585072
0.377370,0.642400,3.265000,117.601419
0.392940,0.650240,3.265000,117.617884
0.401975,0.685055,3.415000,117.634247
0.400820,0.680890,3.240000,117.650715
0.369915,0.627665,3.220000,117.667270
0.370060,0.664060,3.255000,117.683545
0.369570,0.662945,3.260000,117.700040
0.376830,0.646080,3.200000,117.716417
0.371095,0.683155,3.265000,117.732839
0.376290,0.699295,3.245000,117.749314
0.392710,0.695565,3.285000,117.765633
0.408450,0.716295,3.370000,117.782137
0.408475,0.716080,3.310000,117.798556
0.400755,0.687035,3.295000,117.815112
0.389710,0.691995,3.305000,117.831526
0.384355,0.675280,3.275000,117.847946
0.390835,0.632465,3.285000,117.864248
0.385625,0.624230,3.345000,117.880679
0.384695,0.620470,3.355000,117.897183
0.400660,0.673175,3.315000,117.913568
0.380825,0.605105,3.370000,117.929992
0.382280,0.609855,3.540000,117.946408
0.257250,0.291175,3.635000,117.962867
0.248255,0.149365,3.750000,117.979310
0.252050,0.162975,3.925000,117.995689
0.282325,0.137450,4.080000,118.012137
0.284890,0.130345,4.155000,118.028591
0.287015,0.139615,3.985000,118.044952
0.264780,0.090705,4.060000,118.061526
0.270075,0.131525,4.075000,118.077997
0.268660,0.124705,4.055000,118.094246
0.281895,0.121515,4.015000,118.110662
0.308185,0.135535,4.000000,118.127122
0.306030,0.126345,4.015000,118.143519
0.247595,0.028915,4.030000,118.159985
0.260140,0.044320,4.015000,118.176454
0.257015,0.030885,4.010000,118.192826
0.295885,0.072440,3.930000,118.209291
0.232755,0.089360,3.915000,118.225772
0.240270,0.118135,3.955000,118.242161
0.402565,0.104105,3.825000,118.258564
0.500420,0.128210,3.685000,118.275013
0.499040,0.111925,3.905000,118.291492
0.463155,0.036585,3.890000,118.307930
0.458630,0.015370,3.990000,118.324337
0.457185,0.001465,3.945000,118.340771
0.484975,-0.018590,3.800000,118.357142
0.493535,0.002060,3.905000,118.373533
0.492755,-0.006435,3.830000,118.389953
0.375885,0.015925,3.750000,118.406408
0.167450,-0.007455,3.645000,118.422942
0.162610,-0.024230,3.980000,118.439227
0.212900,0.009360,3.785000,118.455696
0.164710,0.051080,3.795000,118.472093
0.168760,0.065100,3.795000,118.488570
0.180765,0.046445,3.780000,118.505149
0.188810,-0.004860,3.850000,118.521466
0.189265,-0.003235,3.875000,118.537783
0.196675,0.054305,3.855000,118.554305
0.195640,0.092545,3.900000,118.570701
0.207575,0.135635,3.915000,118.587190
0.210395,0.114005,3.760000,118.603547
