x,y,d,t
0.701095,0.532080,5.330000,111.489710
0.561105,0.439390,5.350000,111.506163
0.493005,0.508140,5.345000,111.522542
0.493675,0.517070,5.310000,111.538957
0.532160,0.489590,5.310000,111.555447
0.527195,0.481190,5.315000,111.571950
0.527195,0.481190,5.290000,111.588216
0.329430,0.590060,5.340000,111.604819
0.317720,0.515460,5.345000,111.621113
0.318385,0.520710,5.325000,111.637531
0.318765,0.554230,5.275000,111.653965
0.344710,0.584195,5.270000,111.670428
0.346600,0.588680,5.245000,111.686873
0.314705,0.527610,5.225000,111.703275
0.313135,0.517835,5.245000,111.719720
0.307565,0.499220,5.255000,111.736148
0.314440,0.483220,5.195000,111.752594
0.313595,0.501350,5.200000,111.769009
0.314440,0.506630,5.195000,111.785388
0.312145,0.547305,5.185000,111.801879
0.314855,0.562335,5.195000,111.818371
0.318380,0.575365,5.190000,111.834716
0.317195,0.539055,5.195000,111.851091
0.270880,0.440245,5.220000,111.867574
0.271645,0.438535,5.225000,111.883924
0.193980,0.355080,5.235000,111.900393
0.199755,0.307080,5.215000,111.916845
0.192035,0.285025,5.230000,111.933273
0.198245,0.272405,5.235000,111.949686
0.187480,0.254940,5.260000,111.966118
0.193295,0.273415,5.260000,111.982630
0.225630,0.292550,5.275000,111.999012
0.215245,0.327205,5.290000,112.015365
0.221445,0.344150,5.295000,112.031871
0.214825,0.525290,5.295000,112.048296
0.219630,1.187950,5.285000,112.064664
0.215260,1.185920,4.940000,112.081293
0.212355,1.184810,5.390000,112.327590
0.439020,2.277585,5.575000,112.409761
0.437520,2.288070,5.625000,112.426192
0.412380,2.317045,5.725000,112.442590
0.313300,2.403595,5.680000,112.459023
0.311045,2.408560,5.705000,112.475478
0.225575,2.406120,5.585000,112.491768
0.165160,2.473960,5.505000,112.508211
0.165160,2.473960,5.700000,112.524732
0.207710,2.353525,5.655000,112.541115
0.290260,2.223125,5.665000,112.639614
0.271000,2.234145,5.705000,112.656133
0.271000,2.234145,5.785000,112.672644
0.265100,2.224420,5.650000,112.689031
0.251540,2.176850,5.570000,112.705428
0.251540,2.176850,5.810000,112.721839
0.213160,2.199575,5.715000,112.738323
0.279805,2.194590,5.735000,112.754733
0.279805,2.194590,5.715000,112.771063
0.238000,2.093290,5.815000,112.787573
0.241655,2.098275,5.690000,112.803947
0.239250,2.101620,5.875000,112.820411
0.201490,2.148120,5.735000,112.836854
0.223260,2.098740,5.785000,112.853295
0.218065,2.105170,5.780000,112.869635
0.326010,2.249260,5.915000,112.886142
0.261265,2.379080,5.845000,113.148905
0.261265,2.379080,5.800000,113.165429
0.213340,2.437775,5.725000,113.181930
0.269060,2.235810,5.870000,113.198297
0.269060,2.235810,5.880000,113.214780
0.268505,2.327680,5.790000,113.231059
0.244485,2.310930,5.910000,113.247616
0.249400,2.294825,5.825000,113.264009
0.216370,2.266405,5.795000,113.280369
0.263025,2.259075,5.820000,113.296897
0.270555,2.237575,5.715000,113.313313
0.333645,1.300220,5.840000,113.526886
0.292705,0.298635,5.955000,113.543314
0.296125,0.314640,5.980000,113.559704
0.292640,0.413785,5.950000,113.576190
0.296800,0.347440,5.915000,113.592662
0.295475,0.340320,5.910000,113.609006
0.261495,0.521500,5.820000,113.625503
0.253930,0.467510,5.810000,113.641853
0.247840,0.450180,5.780000,113.658290
0.260185,0.505145,5.710000,113.674824
0.232830,0.416590,5.730000,113.691140
0.237655,0.432165,5.715000,113.707657
0.222920,0.583070,5.705000,113.723971
0.241800,0.523245,5.750000,113.740589
0.245230,0.532015,5.730000,113.756902
0.272175,0.539625,5.685000,113.773305
0.268930,0.540145,5.780000,113.789762
0.265360,0.530375,5.765000,113.806137
0.601665,0.799395,5.790000,113.822597
0.602955,0.799845,5.820000,113.839015
0.603495,0.796680,5.775000,113.855403
0.607045,0.781555,5.725000,113.871920
0.615010,0.745230,5.775000,113.888276
0.613930,0.749450,5.715000,113.904733
0.602075,0.698540,5.705000,113.921186
0.623700,0.655665,5.730000,113.937577
0.623895,0.659425,5.690000,113.954041
0.619710,0.636010,5.675000,113.970448
0.644820,0.686500,5.700000,113.986881
0.645780,0.679395,5.710000,114.003356
0.624690,0.652525,5.670000,114.019681
0.649125,0.674665,5.730000,114.036157
0.650545,0.670110,5.730000,114.052633
0.607385,0.648545,5.700000,114.069040
0.540460,0.516875,5.785000,114.085417
