x,y,d,t
0.394990,0.264580,3.275000,129.331303
0.415505,0.346095,3.210000,129.347649
0.405340,0.328175,3.540000,129.364045
0.401515,0.308025,3.350000,129.381277
0.374255,0.258690,3.390000,129.396977
0.385670,0.257135,3.435000,129.413320
0.386430,0.261895,3.455000,129.430020
0.393745,0.307530,3.370000,129.446280
0.385310,0.314380,3.290000,129.462790
0.390520,0.341050,3.485000,129.479051
0.394700,0.364755,3.340000,129.495487
0.365530,0.164825,3.410000,129.511989
0.361465,0.144500,3.850000,129.528325
0.357170,0.060065,3.690000,129.544823
0.342100,0.035660,3.750000,129.561287
0.340845,0.027505,3.775000,129.577636
0.339495,0.053840,3.710000,129.594072
0.352250,0.037050,3.810000,129.610553
0.353525,0.045360,3.835000,129.626935
0.381400,0.031245,3.690000,129.643292
0.388260,0.035360,3.775000,129.659807
0.387355,0.027110,3.685000,129.676191
0.292915,0.065340,3.590000,129.692643
0.209560,0.030815,3.620000,129.709028
0.211380,0.038765,3.650000,129.725505
0.205010,0.017820,3.765000,129.741848
0.240815,0.002240,3.730000,129.758383
0.239150,-0.005960,3.715000,129.774757
0.191070,0.020775,3.705000,129.791157
0.196650,0.028925,3.730000,129.807613
0.201065,0.045190,3.715000,129.824107
0.214180,0.068855,3.805000,129.840452
0.212000,0.123480,3.700000,129.856984
0.213900,0.129935,3.730000,129.873357
0.230960,0.107080,3.965000,129.889743
0.222050,0.119315,3.700000,129.906195
0.225710,0.132590,3.745000,129.922679
0.320890,0.316705,3.595000,129.939031
0.306530,0.306875,3.505000,129.955541
0.304935,0.301170,3.435000,129.971987
0.305555,0.318775,3.480000,129.988382
0.290075,0.278535,3.290000,130.004781
0.285140,0.259975,3.385000,130.021156
0.302370,0.227305,3.300000,130.037634
0.290855,0.190565,3.315000,130.054111
0.289140,0.183915,3.405000,130.070565
0.281250,0.299055,3.270000,130.086915
0.323300,0.267295,3.365000,130.103419
0.323300,0.267295,3.360000,130.119854
0.405635,0.311025,3.445000,130.136186
0.536875,0.319835,3.350000,130.152655
0.537625,0.330615,3.285000,130.169038
0.617430,0.331610,3.435000,130.185409
0.645800,0.384605,3.385000,130.201882
0.645475,0.391070,3.385000,130.218333
0.659905,0.397140,3.355000,130.234738
