x,y,d,t
0.707325,0.550470,3.240000,143.081780
0.710170,0.536935,3.225000,143.098127
0.707135,0.559420,3.160000,143.114502
0.707135,0.559420,3.190000,143.130975
0.585610,0.548885,3.050000,143.147535
0.567845,0.511675,3.075000,143.163950
0.567845,0.511675,3.115000,143.180231
0.581125,0.429190,3.090000,143.196649
0.576660,0.462015,3.135000,143.213105
0.575840,0.444955,3.170000,143.229568
0.543650,0.438495,3.315000,143.245997
0.555665,0.460870,3.225000,143.262471
0.555290,0.455485,3.205000,143.278814
0.649260,0.572800,3.170000,143.295301
0.703945,0.592280,3.030000,143.311752
0.701240,0.620100,3.170000,143.328154
0.690780,0.581590,3.000000,143.344619
0.691090,0.615595,3.060000,143.361100
0.690365,0.624055,2.995000,143.377480
0.691090,0.621925,2.890000,143.393795
0.689970,0.604390,3.000000,143.410192
0.690405,0.599465,3.085000,143.426672
0.676675,0.608975,3.030000,143.443191
0.667685,0.685315,3.025000,143.459590
0.668280,0.676290,2.920000,143.476007
0.745785,1.037275,2.940000,143.492421
0.686660,1.538140,2.355000,143.508774
0.685220,1.538175,2.980000,143.525217
0.658720,1.535130,2.925000,143.541753
0.645120,1.642990,2.975000,143.558052
0.644365,1.637245,3.120000,143.574609
0.649870,1.371585,3.035000,143.591074
0.645290,1.570080,3.010000,143.607357
0.645610,1.570905,3.085000,143.623813
0.515165,1.677555,2.980000,143.640265
0.550245,1.601305,3.050000,143.656671
0.548040,1.608325,3.205000,143.673078
0.489270,1.656865,3.150000,143.689516
0.526595,1.651295,3.185000,143.706029
0.525520,1.654360,3.190000,143.722383
0.516900,1.733350,3.175000,143.738767
0.514215,1.691165,3.165000,143.755231
0.515440,1.687670,3.185000,143.771676
0.514250,1.730270,3.150000,143.788044
0.525100,1.708795,3.240000,143.804523
0.526230,1.704950,3.305000,143.820970
0.497840,1.764530,3.325000,143.837387
0.463235,1.716750,3.310000,143.853751
0.464175,1.715040,3.240000,143.870312
0.492345,1.700310,3.345000,143.886626
0.502760,1.719290,3.395000,143.903024
0.502520,1.719960,3.455000,143.919536
0.471060,1.711680,3.475000,143.935974
0.497250,1.721760,3.460000,143.952376
0.496645,1.723220,3.565000,143.968910
0.487100,1.738030,3.380000,143.985283
0.519740,1.722700,3.390000,144.001685
0.519135,1.724340,3.540000,144.018104
0.522225,1.738520,3.330000,144.034553
0.489160,1.723750,3.410000,144.051133
0.490010,1.721900,3.420000,144.067412
0.474260,1.731730,3.365000,144.083805
0.495640,1.705740,3.395000,144.100304
0.495895,1.705095,3.480000,144.116660
0.582875,1.491805,3.545000,144.133106
0.692170,0.999210,3.230000,144.149467
0.692850,0.996880,3.735000,144.165920
0.645115,0.447755,3.500000,144.182398
0.648055,0.485510,3.470000,144.198862
0.648360,0.474410,3.555000,144.215251
0.655835,0.478315,3.370000,144.231753
0.679125,0.451675,3.335000,144.248068
