x,y,d,t
0.204185,0.390370,4.800000,176.738266
0.196870,0.374935,4.780000,176.754729
0.304610,0.347425,4.820000,176.771122
0.299155,0.296690,4.830000,176.787765
0.299155,0.296690,4.835000,176.804028
0.332240,0.320265,4.860000,176.820487
0.290625,0.315090,4.870000,176.836885
0.290625,0.315090,4.930000,176.853327
0.317130,0.271680,4.910000,176.869655
0.313210,0.345325,4.945000,176.886261
0.310770,0.337465,4.915000,176.902552
0.298030,0.245565,5.000000,176.919010
0.300065,0.357225,4.985000,176.935454
0.302605,0.364900,4.965000,176.951936
0.371610,0.305880,4.965000,176.968314
0.372235,0.321150,4.975000,176.984730
0.374140,0.329380,4.960000,177.001177
0.369005,0.328720,4.970000,177.017611
0.364850,0.331280,4.985000,177.033981
0.364850,0.331280,4.980000,177.050429
0.372105,0.318790,4.995000,177.066877
0.355915,0.304530,5.055000,177.083273
0.355915,0.304530,5.085000,177.099872
0.367390,0.274575,5.075000,177.116223
0.364375,0.318260,5.095000,177.132575
0.362370,0.309925,5.095000,177.149063
0.354195,0.325995,5.090000,177.165421
0.347945,0.362550,5.105000,177.181909
0.345835,0.354875,5.115000,177.198398
0.319145,0.813750,5.365000,177.214681
0.218820,1.218750,5.140000,177.231135
0.218820,1.218750,5.195000,177.247531
0.231370,1.705065,5.285000,177.263952
0.246280,1.671340,5.295000,177.280543
0.249145,1.666580,5.280000,177.296947
0.225255,1.674990,5.310000,177.313355
0.242925,1.681580,5.340000,177.329767
0.242925,1.681580,5.305000,177.346214
0.246060,1.658600,5.310000,177.362535
0.234675,1.682715,5.340000,177.379062
0.231675,1.687630,5.305000,177.395481
0.332940,0.216170,5.460000,177.658391
0.307040,0.219060,5.505000,177.674799
0.309545,0.228030,5.525000,177.691241
0.239885,0.084395,5.510000,177.707655
0.244270,0.100665,5.480000,177.724116
0.247500,0.111055,5.580000,177.740524
0.219150,0.118365,5.455000,177.756851
0.232035,0.125460,5.400000,177.773324
0.232035,0.125460,5.475000,177.789831
