x,y,d,t
0.485620,0.426205,2.485000,116.396376
0.485620,0.426205,2.320000,116.412761
0.507480,0.442095,2.485000,116.429130
0.480875,0.289590,2.405000,116.445559
0.480875,0.289590,2.430000,116.462049
0.503145,0.366710,2.420000,116.478419
0.466175,0.451115,2.515000,116.494853
0.466175,0.451115,2.510000,116.511305
0.494140,0.388475,2.340000,116.527661
0.460255,0.361165,2.420000,116.544103
0.460255,0.361165,2.340000,116.560639
0.498255,0.439965,2.245000,116.577006
0.498255,0.439965,2.480000,116.757656
0.637130,0.557975,2.580000,116.774195
0.670250,0.610985,2.540000,116.790583
0.668360,0.617750,2.655000,116.807023
0.634165,0.598745,2.630000,116.823479
0.662755,0.560650,2.595000,116.839854
0.661970,0.563945,2.595000,116.856367
0.658515,0.642650,2.630000,116.872668
0.651160,0.579955,2.630000,116.889116
0.654380,0.567025,2.660000,116.905618
0.653800,0.498145,2.635000,116.922008
0.625735,0.616560,2.680000,116.938407
0.626330,0.613880,2.745000,116.954871
0.593155,0.529110,2.760000,116.971329
0.466040,0.285090,2.895000,116.987763
0.467235,0.307770,2.620000,117.004155
0.222780,0.454120,2.885000,117.020508
0.206845,0.500440,2.905000,117.036980
0.208730,0.504485,2.965000,117.053421
0.264570,0.519895,2.955000,117.069848
0.220700,0.479845,2.960000,117.086407
0.220880,0.480270,2.925000,117.102740
0.218000,0.468445,2.805000,117.119104
0.206390,0.457205,2.935000,117.135636
0.198435,0.438970,2.905000,117.152030
0.203665,0.387845,2.870000,117.168397
0.204665,0.429015,2.920000,117.184861
0.201370,0.421105,2.810000,117.201283
0.167200,0.358040,2.880000,117.217729
0.208695,0.436285,2.825000,117.234104
0.216205,0.453955,2.820000,117.250615
0.198555,0.396525,2.795000,117.267019
0.234825,0.418930,2.790000,117.283375
0.234825,0.418930,2.775000,117.299773
0.206640,0.405845,2.790000,117.316218
0.188735,0.430720,2.765000,117.332680
0.185030,0.422575,2.890000,117.349104
0.137720,0.423900,2.810000,117.365684
0.146550,0.403345,2.820000,117.382011
0.150665,0.411645,2.880000,117.398398
0.193535,0.386525,2.890000,117.414934
