x,y,d,t
0.370240,0.495690,3.075000,122.612008
0.375335,0.515860,3.255000,122.628496
0.377755,0.421370,3.290000,122.644923
0.354350,0.423695,3.155000,122.661287
0.350325,0.407385,3.155000,122.677764
0.333575,0.379465,3.235000,122.694204
0.349255,0.404925,3.005000,122.710598
0.346695,0.394545,3.335000,122.727169
0.386590,0.349425,3.190000,122.743466
0.352920,0.350945,2.975000,122.759973
0.351770,0.345805,3.305000,122.776369
0.374020,0.376490,3.135000,122.792803
0.380910,0.411545,3.045000,122.809276
0.381900,0.416735,3.215000,122.825662
0.343960,0.383420,3.185000,122.841997
0.297880,0.317510,3.300000,122.858545
0.293000,0.300380,2.635000,122.874975
0.149875,0.061570,3.455000,122.891395
0.168230,0.042330,2.925000,122.907798
0.174480,0.063375,3.945000,122.924294
0.171780,0.032645,3.780000,122.940615
0.203805,0.089735,2.985000,122.957063
0.208320,0.105785,3.655000,122.973597
0.186225,0.130220,3.650000,122.989966
0.193015,0.141455,3.640000,123.006390
0.195240,0.148045,3.640000,123.022818
0.204000,0.125230,3.630000,123.039221
0.227185,0.150135,3.720000,123.055615
0.228940,0.156600,3.690000,123.072071
0.232820,0.162590,3.640000,123.088540
0.325250,0.116655,3.545000,123.104915
0.322525,0.103230,3.680000,123.121345
0.338145,0.090400,3.650000,123.137771
0.332150,0.058155,3.770000,123.154241
0.333735,0.065390,3.780000,123.170676
0.354695,0.118405,3.675000,123.186975
0.339965,0.102510,3.705000,123.203547
0.339485,0.100955,3.655000,123.219945
0.353745,0.116465,3.925000,123.236402
0.353100,0.104100,3.825000,123.252774
0.353285,0.103575,3.710000,123.269172
0.334605,0.090655,3.700000,123.285649
0.409790,0.151435,3.645000,123.301988
0.409690,0.152050,3.825000,123.318644
0.447765,0.118550,3.935000,123.334879
0.477640,0.057785,3.750000,123.351333
0.474465,0.022320,3.755000,123.367716
0.484150,0.022435,3.765000,123.384198
0.463700,0.047455,3.630000,123.400726
0.466220,0.070810,3.750000,123.416992
0.466265,0.091095,3.730000,123.433460
0.471030,0.092350,3.620000,123.449888
0.470660,0.090885,3.760000,123.466388
0.461025,0.053680,3.720000,123.482712
0.464395,-0.001055,3.715000,123.499147
0.459580,-0.049445,3.855000,123.515595
0.452970,0.005260,3.645000,123.532020
0.502555,0.292330,3.625000,123.548439
0.503565,0.303915,3.270000,123.564939
0.513815,0.480195,3.305000,123.581294
